entity,tag,category,subcategory
بنو مخزوم,@BanuMakhzum,group,tribes
بني جمح,@BanuJumah,group,tribes
بنو جمح,@BanuJumah,group,tribes
بني سهم,@BanuSahm,group,tribes
بنو سهم,@BanuSahm,group,tribes
سهم,@BanuSahm,group,tribes
بني عدي,@BanuCadiyy,group,tribes
بنو عدي,@BanuCadiyy,group,tribes
بني عامر,@BanuCamir,group,tribes
بنو عامر,@BanuCamir,group,tribes
بني الحارث,@BanuHarith,group,tribes
بنو الحارث,@BanuHarith,group,tribes
ثقيف,@BanuThaqif,group,tribes
بني كلب,@BanuKalb,group,tribes
بنو كلب,@BanuKalb,group,tribes
بني حنيفة,@BanuHanifa,group,tribes
بنو حنيفة,@BanuHanifa,group,tribes
بني النجار,@BanuNajjar,group,tribes
بنو النجار,@BanuNajjar,group,tribes
بني زريق,@BanuZurayq,group,tribes
بنو زريق,@BanuZurayq,group,tribes
بني عوف,@BanuCauf,group,tribes
بنو عوف,@BanuCauf,group,tribes
بني سالم,@BanuSalim,group,tribes
بنو سالم,@BanuSalim,group,tribes
بني سلمة,@BanuSalima,group,tribes
بنو سلمة,@BanuSalima,group,tribes
بني سواد,@BanuSawad,group,tribes
بنو سواد,@BanuSawad,group,tribes
الأوس,@BanuAus,group,tribes
الأوس,@BanuAus,group,tribes
بني عمرو,@BanuCamr,group,tribes
بنو عمرو,@BanuCamr,group,tribes
بني عبد الأشهل,@BanuCabdAshhal,group,tribes
بنو عبد الأشهل,@BanuCabdAshhal,group,tribes
بني حارثة بن الحارث,@BanuHarithIbnHarith,group,tribes
بنو حارثة بن الحارث,@BanuHarithIbnHarith,group,tribes
بني  عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بنو  عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بني عمرو بن مبذول,@BanuCamrIbnMabdhul,group,tribes
بنو عمرو بن مبذول,@BanuCamrIbnMabdhul,group,tribes
 بني عمرو بن مالك,@BanuCamrIbnMalik,group,tribes
 بنو عمرو بن مالك,@BanuCamrIbnMalik,group,tribes
بني مازن بن النجار,@BanuMazimIbnNajjar,group,tribes
بنو مازن بن النجار,@BanuMazimIbnNajjar,group,tribes
بني بياضة ,@BanuBayadaIbnCamir,group,tribes
بنو بياضة,@BanuBayadaIbnCamir,group,tribes
بني زريق,@BanuZurayq,group,tribes
بنو زريق,@BanuZurayq,group,tribes
بني غنم بن سواد,@BanuGhanamIbnSawad,group,tribes
بنو غنم بن سواد,@BanuGhanamIbnSawad,group,tribes
بني نابي بن عمرو,@BanuNabiIbnCamr,group,tribes
بنو نابي بن عمرو,@BanuNabiIbnCamr,group,tribes
بني حرام بن كعب,@BanuHaramIbnKaCb,group,tribes
بنو حرام بن كعب,@BanuHaramIbnKaCb,group,tribes
بني عوف بن الخزرج,@BanuCaufIbnKhazraj,group,tribes
بنو عوف بن الخزرج,@BanuCaufIbnKhazraj,group,tribes
بني ساعدة,@BanuSaCidaIbnKaCb,group,tribes
بنو ساعدة,@BanuSaCidaIbnKaCb,group,tribes
بني مازن بن النجار,@BanuMazinIbnNajjar,group,tribes
بنو مازن بن النجار,@BanuMazinIbnNajjar,group,tribes
بني سالم بن غنم,@BanuSalimIbnGhanm,group,tribes
بنو سالم بن غنم,@BanuSalimIbnGhanm,group,tribes
الخزرج بن حارثة,@BanuKhazrajIbnHaritha,group,tribes
بلحارث بن الخزرج,@BanuHarithIbnKhazraj,group,tribes
بني سلمة بن سعد,@BanuSalamaIbnSacd,group,tribes
بنو سلمة بن سعد,@BanuSalamaIbnSacd,group,tribes
بني سواد بن غنم,@BanuSawadIbnGhanm,group,tribes
بنو سواد بن غنم,@BanuSawadIbnGhanm,group,tribes
بني النضير,@BanuNadir,group,tribes
بنو النضير,@BanuNadir,group,tribes
بني ثعلبة,@BanuThaClaba,group,tribes
بنو ثعلبة,@BanuThaClaba,group,tribes
بني قينقاع,@BanuQaynuqaC,group,tribes
بنو قينقاع,@BanuQaynuqaC,group,tribes
بني قريظة,@BanuQurayza,group,tribes
بنو قريظة,@BanuQurayza,group,tribes
بني زريق,@BanuZurayq,group,tribes
بنو زريق,@BanuZurayq,group,tribes
بني حارثة,@BanuHaritha,group,tribes
بنو حارثة,@BanuHaritha,group,tribes
 بنى حبيب,@BanuHubayb,group,tribes
 بنو حبيب,@BanuHubayb,group,tribes
بني ضبيعة,@BanuDubayCa,group,tribes
بنو ضبيعة,@BanuDubayCa,group,tribes
بني لوذان,@BanuLaudhan,group,tribes
بنو لوذان,@BanuLaudhan,group,tribes
بني عبيد,@BanuCubayd,group,tribes
بنو عبيد,@BanuCubayd,group,tribes
بني النبيت,@BanuNabit,group,tribes
بنو النبيت,@BanuNabit,group,tribes
بني ظفر,@BanuZafar,group,tribes
بنو ظفر,@BanuZafar,group,tribes
بني عبد الأشهل,@BanuCabdAshhal,group,tribes
بنو عبد الأشهل,@BanuCabdAshhal,group,tribes
بني جشم,@BanuJusham,group,tribes
بنو جشم,@BanuJusham,group,tribes
بني ضمرة,@BanuDamra,group,tribes
بنو ضمرة,@BanuDamra,group,tribes
بني كبير,@BanuKabir,group,tribes
بنو كبير,@BanuKabir,group,tribes
بني عبيد بن كعب,@BanuCubaydIbnKaCb,group,tribes
بنو عبيد بن كعب,@BanuCubaydIbnKaCb,group,tribes
بني عبد بن رزاح,@BanuCabdIbnRizah,group,tribes
بنو عبد بن رزاح,@BanuCabdIbnRizah,group,tribes
بني جحجبى,@BanuJahjaba,group,tribes
بنو جحجبى,@BanuJahjaba,group,tribes
بني غنم,@BanuGhanm,group,tribes
بنو غنم,@BanuGhanm,group,tribes
بني معاوية,@BanuMuCawiya,group,tribes
بنو معاوية,@BanuMuCawiya,group,tribes
بني امرئ القيس,@BanuImruQays,group,tribes
بنو امرئ القيس,@BanuImruQays,group,tribes
بني زيد,@BanuZayd,group,tribes
بنو زيد,@BanuZayd,group,tribes
بني أحمر,@BanuAhmar,group,tribes
بنو أحمر,@BanuAhmar,group,tribes
بني جشم,@BanuJusham,group,tribes
بنو جشم,@BanuJusham,group,tribes
بني جدارة,@BanuJidara,group,tribes
بنو جدارة,@BanuJidara,group,tribes
بني الأبجر,@BanuAbjar,group,tribes
بنو الأبجر,@BanuAbjar,group,tribes
بني جزء,@BanuJaz,group,tribes
بنو جزء,@BanuJaz,group,tribes
بني أصرم,@BanuAsram,group,tribes
بنو أصرم,@BanuAsram,group,tribes
بني دعد,@BanuDaCd,group,tribes
بنو دعد,@BanuDaCd,group,tribes
بني البدي,@BanuBadiy,group,tribes
بنو البدي,@BanuBadiy,group,tribes
 بني طريف,@BanuTarif,group,tribes
 بنو طريف,@BanuTarif,group,tribes
بني النعمان,@BanuNuCman,group,tribes
بنو النعمان,@BanuNuCman,group,tribes
بني عدي بن نابي,@BanuCadiyIbnNabi,group,tribes
بنو عدي بن نابي,@BanuCadiyIbnNabi,group,tribes
بني خالد,@BanuKhalid,group,tribes
بنو خالد,@BanuKhalid,group,tribes
بني خلدة,@BanuKhalada,group,tribes
بنو خلدة,@BanuKhalada,group,tribes
بني العجلان,@BanuCajlan,group,tribes
بنو العجلان,@BanuCajlan,group,tribes
بني عسيرة,@BanuCusayra,group,tribes
بنو عسيرة,@BanuCusayra,group,tribes
بني عبيد بن ثعلبة,@BanuCubaydIbnThaClaba,group,tribes
بنو عبيد بن ثعلبة,@BanuCubaydIbnThaClaba,group,tribes
بني عائذ,@BanuCaidh,group,tribes
بنو عائذ,@BanuCaidh,group,tribes
بني عامر بن مالك,@BanuCamirIbnMalik,group,tribes
بنو عامر بن مالك,@BanuCamirIbnMalik,group,tribes
بني عدي بن عمرو,@BanuCadiyIbnCamr,group,tribes
بنو عدي بن عمرو,@BanuCadiyIbnCamr,group,tribes
بني عدي بن النجار,@BanuCadiyIbnNajjar,group,tribes
بنو عدي بن النجار,@BanuCadiyIbnNajjar,group,tribes
بني حرام بن جندب,@BanuHaramIbnJundub,group,tribes
بنو حرام بن جندب,@BanuHaramIbnJundub,group,tribes
بني خنساء بن مبذول,@BanuKhansaIbnMabdhul,group,tribes
بنو خنساء بن مبذول,@BanuKhansaIbnMabdhul,group,tribes
بني ثعلبة بن مازن,@BanuThaClabaIbnMazin,group,tribes
بنو ثعلبة بن مازن,@BanuThaClabaIbnMazin,group,tribes
 بني دينار,@BanuDinarIbnNajjar,group,tribes
 بنو دينار,@BanuDinarIbnNajjar,group,tribes
بني الحارث بن فهر,@BanuHarithIbnFihr,group,tribes
بنو الحارث بن فهر,@BanuHarithIbnFihr,group,tribes
بني الحارث بن الخزرج,@BanuHarithIbnKhazraj,group,tribes
بنو الحارث بن الخزرج,@BanuHarithIbnKhazraj,group,tribes
بني تميم بن مرة,@BanuTaymIbnMurra,group,tribes
بني سليم,@BanuSulaym,group,tribes
بنو سليم,@BanuSulaym,group,tribes
راتج,@AhlRatij,group,tribes
بني مبذول,@BanuMabdhul,group,tribes
بنو مبذول,@BanuMabdhul,group,tribes
بني مازن,@BanuMazin,group,tribes
بنو مازن,@BanuMazin,group,tribes
بني الحبلى,@BanuHubla,group,tribes
بنو الحبلى,@BanuHubla,group,tribes
بني خطمة,@BanuKhutma,group,tribes
بنو خطمة,@BanuKhutma,group,tribes
غطفان,@BanuGhatafan,group,tribes
بني هدل,@BanuHadl,group,tribes
بنو هدل,@BanuHadl,group,tribes
بني لحيان,@BanuLihyan,group,tribes
بنو لحيان,@BanuLihyan,group,tribes
بني المصطلق,@BanuMustaliq,group,tribes
بنو المصطلق,@BanuMustaliq,group,tribes
بكر,@BanuBakr,group,tribes
بني جذيمة,@BanuJadhima,group,tribes
بنو جذيمة,@BanuJadhima,group,tribes
قضاعة,@BanuQudaCa,group,tribes
بني سعد,@BanuSaCd,group,tribes
بنو سعد,@BanuSaCd,group,tribes
بني عبد مناف,@BanuCabdManaf,group,tribes
بنو عبد مناف,@BanuCabdManaf,group,tribes
الخزرج,@BanuKhazraj,group,tribes
بني قيس بن ثعلبة,@BanuQaysIbnThaCliba,group,tribes
بنو قيس بن ثعلبة,@BanuQaysIbnThaCliba,group,tribes
مخزوم,@BanuMakhzum,group,tribes
بني عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بنو عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بني جحش,@BanuJahsh,group,tribes
بنو جحش,@BanuJahsh,group,tribes
بني عمرو,@BanuCamrIbnCauf,group,tribes
بنو عمرو,@BanuCamrIbnCauf,group,tribes
بني عوف,@BanuCaufIbnKhazraj,group,tribes
بنو عوف,@BanuCaufIbnKhazraj,group,tribes
بني امرئ القيس,@BanuImruQays,group,tribes
بنو امرئ القيس,@BanuImruQays,group,tribes
بني خناس,@BanuKhunas,group,tribes
بنو خناس,@BanuKhunas,group,tribes
بني حبيب,@BanuHabib,group,tribes
بنو حبيب,@BanuHabib,group,tribes
بني عبد الدار,@BanuCabdDar,group,tribes
بنو عبد الدار,@BanuCabdDar,group,tribes
بني عامر,@BanuCamirIbnLuayy,group,tribes
بنو عامر,@BanuCamirIbnLuayy,group,tribes
بني المطلب,@BanuMuttalib,group,tribes
بنو المطلب,@BanuMuttalib,group,tribes
بني السلم,@BanuSalm,group,tribes
بنو السلم,@BanuSalm,group,tribes
بني عوف,@BanuCaufIbnKhazraj,group,tribes
بنو عوف,@BanuCaufIbnKhazraj,group,tribes
بني الخزرج,@BanuKhazraj,group,tribes
بنو الخزرج,@BanuKhazraj,group,tribes
بني الحارث,@BanuHarithIbnFihr,group,tribes
بنو الحارث,@BanuHarithIbnFihr,group,tribes
بني مالك,@BanuMalik,group,tribes
بنو مالك,@BanuMalik,group,tribes
بني رئاب,@BanuRaab,group,tribes
بنو رئاب,@BanuRaab,group,tribes
هوازن,@Hawazin,group,tribes
بني تميم,@BanuTaym,group,tribes
بنو تميم,@BanuTaym,group,tribes
بني زبيد,@BanuZubayd,group,tribes
بنو زبيد,@BanuZubayd,group,tribes
كندة,@BanuKinda,group,tribes
أهل جرش,@JurashPeople,group,tribes
بني الحارث بن كعب,@BanuHarithIbnKaCb,group,tribes
بنو الحارث بن كعب,@BanuHarithIbnKaCb,group,tribes
بني الملوح,@BanuMulawwah,group,tribes
بنو الملوح,@BanuMulawwah,group,tribes
بني فزارة,@BanuFazara,group,tribes
بنو فزارة,@BanuFazara,group,tribes
بني العنبر,@BanuACnbar,group,tribes
بنو العنبر,@BanuACnbar,group,tribes
بني مرة,@BanuMurra,group,tribes
بنو مرة,@BanuMurra,group,tribes
بني ساعدة,@BanuSaCida,group,tribes
بنو ساعدة,@BanuSaCida,group,tribes
أولاد,@descendents,group,collective nouns
ولد,@descendents,group,collective nouns
العداوة,@enemies,group,collective nouns
الأعداء,@enemies,group,collective nouns
عداوت,@enemies,group,collective nouns
المشركين,@polytheists,group,collective nouns
المشركون,@polytheists,group,collective nouns
المهاجرين,@Immigrants,group,collective nouns
المهاجرون,@Immigrants,group,collective nouns
الأنصار,@Helpers,group,collective nouns
منافقي,@Hypocrites,group,collective nouns
أولادها,@descendants,group,collective nouns
أولاده,@descendents,group,collective nouns
ولدا,@descendents,group,collective nouns
أمهم,@origins,group,collective nouns
أمهاتهم,@origins,group,collective nouns
للمهاجرين,@Immigrants,group,collective nouns
المستهزءون,@Mockers,group,collective nouns
المستهزءين,@Mockers,group,collective nouns
المنافقين ,@Hypocrites,group,collective nouns
المنافقون ,@Hypocrites,group,collective nouns
العدوة,@enemies,group,collective nouns
البدريين,@WitnessesBadr,group,collective nouns
مهاجرة,@Immigrants,group,collective nouns
مهاجرات,@Immigrants,group,collective nouns
شهداء,@martyrs,group,collective nouns
الفيل,@theElephant,event,major event
الهجرة الأولى,@MigrationAbyssinia,event,major event
الحج,@Hajj,event,major event
الحمس,@Hums,event,major event
الصحيفة,@Boycott,event,major event
المعراج,@MiCraj,event,major event
الأذان,@CallToPrayer,event,major event
بدر الكبرى,@BadrBattle,event,major event
يوم بدر,@BadrBattle,event,major event
غزوة أحد,@UhudBattle,event,major event
يوم أحد,@UhudBattle,event,major event
غزوة الخندق,@TrenchBattle,event,major event
يوم الخندق,@TrenchBattle,event,major event
الحديبية,@HudaybiyyaTreaty,event,major event
يوم خيبر,@KhaybarExpedition,event,major event
المسير إلى خيبر,@KhaybarExpedition,event,major event
غزوة مؤتة,@MutaRaid,event,major event
فتح مكة,@MeccaSiege,event,major event
غزوة الطائف,@TaifRaid,event,major event
يوم الطائف,@TaifRaid,event,major event
غزوة تبوك,@TabukRaid,event,major event
سقيفة,@Saqifa,event,major event
للصحيفة,@Boycott,event,major event
يوم بني قريظة,@BanuQurayzaRaid,event,major event
أمر الخندق,@TrenchBattle,event,major event
أمر خيبر,@KhaybarExpedition,event,major event
فتح خيبر,@KhaybarExpedition,event,major event
عمرة القضاء,@FulfilledPilgrimage,event,major event
يوم الفتح,@MeccaSiege,event,major event
غزوة حنين,@HunaynBattle,event,major event
يوم حنين,@HunaynBattle,event,major event
حنين,@HunaynBattle,event,major event
سنة الوفود,@YearofDeputations,event,major event
حجة الوداع,@FarewellPilgrimage,event,major event
السقيفة,@Saqifa,event,major event
مقتل,@killed,event,other events
قتل,@killed,event,other events
استشهد,@martyred,event,other events
استشهاد,@martyred,event,other events
موت,@death,event,other events
وفاة,@death,event,other events
ابتداء,@beginning,event,other events
المستولي,@occupation,event,other events
مستولي,@occupation,event,other events
استيلاء,@occupation,event,other events
افتتاح,@occupation,event,other events
هجرة,@migration,event,other events
الهجرة,@migration,event,other events
هجرته,@migration,event,other events
غزو,@raid,event,other events
غزوة,@raid,event,other events
الغزوات,@raid,event,other events
سرية,@expedition,event,other events
قتال,@fighting,event,other events
القتال,@fighting,event,other events
دفن,@Burial,event,other events
ولادة,@Birth,event,other events
تزويج,@Marriage,event,other events
زواج,@Marriage,event,other events
إسلام,@ConversiontoIslam,event,other events
أسلم,@ConversiontoIslam,event,other events
تنزيل القرآن,@RevelationQuran,event,other events
ما أنزل الله,@RevelationQuran,event,other events
ما أنزله الله,@RevelationQuran,event,other events
ما نزل فيه,@RevelationQuran,event,other events
نزول سورة,@RevelationQuran,event,other events
ما نزل فيهم,@RevelationQuran,event,other events
نزول آيات,@RevelationQuran,event,other events
نزول هذه الآية,@RevelationQuran,event,other events
ما نزل في,@RevelationQuran,event,other events
ما نزل فيمن,@RevelationQuran,event,other events
ما نزل من,@RevelationQuran,event,other events
نزول القرآن,@RevelationQuran,event,other events
نزول براءة,@RevelationQuran,event,other events
من شهد,@witnessing,event,other events
أسرى,@TakenPrisoner,event,other events
الهدنة,@Truce,event,other events
الصلح,@Truce,event,other events
أزواج,@Marriage,event,other events
شكوى,@Illness,event,other events
تمريض,@Illness,event,other events
المرض,@Illness,event,other events
قتله,@killed,event,other events
موته,@death,event,other events
قبره,@Burial,event,other events
ميلاد,@Birth,event,other events
نكاح,@Marriage,event,other events
تزوج,@Marriage,event,other events
تزوجه,@Marriage,event,other events
زواجه,@Marriage,event,other events
إسلامه,@ConversiontoIslam,event,other events
ما أنزله تعالى,@RevelationQuran,event,other events
نزول آية,@RevelationQuran,event,other events
مهاجرة,@migration,event,other events
إلى الإسلام,@ConversiontoIslam,event,other events
عهدا,@Agreement,event,other events
عهد,@Agreement,event,other events
العهد,@Agreement,event,other events
من شهدها,@witnessing,event,other events
مرض,@Illness,event,other events
السرية,@expedition,event,other events
سريته,@expedition,event,other events
شهود,@witnessing,event,other events
من حضر,@attending,event,other events
قتلى,@killed,event,other events
أمر,@AffairStory,event,other events
خبر,@AffairStory,event,other events
قصة,@AffairStory,event,other events
قتله,@killed,event,other events
الموت,@death,event,other events
مقتله,@killed,event,other events
هاجر,@migration,event,other events
للقتال,@fighting,event,other events
للصلح,@Truce,event,other events
من شهدوا,@witnessing,event,other events
بيعة,@homage,event,other events
البيعة,@homage,event,other events
شأن,@AffairStory,event,other events
استشهاده,@martyred,event,other events
مصالحة,@Truce,event,other events
يوم الفتح,@MeccaSiege,event,other events
حج,@Pilgrimage,event,other events
شأن,@AffairStory,event,other events
إسلامها,@ConversiontoIslam,event,other events
ما نزل بسبب,@RevelationQuran,event,other events
المغازي,@raid,event,other events
إسلامهم,@ConversiontoIslam,event,other events
وفد,@deputation,event,other events
الوفد,@deputation,event,other events
وفدهم,@deputation,event,other events
الغزوة,@raid,event,other events
غزوات,@raid,event,other events
الزواج,@Marriage,event,other events
السرية,@expedition,event,other events
الشكوى,@Illness,event,other events
بدء,@beginning,event,other events
تمريضه,@Illness,event,other events
دفنه,@Burial,event,other events
النسب,@genealogy,entity,misc
نسب,@genealogy,entity,misc
عمر,@age,entity,misc
أصل,@origins,entity,misc
أول,@first,entity,misc
شعر,@poetry,entity,misc
الشعر,@poetry,entity,misc
القرآن,@Quran,object,misc
أصنام,@Idols,object,misc
صنم,@Idols,object,misc
هبل,@HubalIdol,object,misc
اللات,@AlatGod,entity,misc
مناة,@ManatGod,entity,misc
الإنجيل,@Gospels,object,misc
الصلاة,@Prayer,entity,misc
تفسير ابن هشام,@TafsirIbnHisham,entity,misc
القبلة,@Qibla,entity,misc
عدد,@Quantity,entity,misc
عدة,@Quantity,entity,misc
تاريخ,@Dating,entity,misc
وقتها,@Dating,entity,misc
الأصنام,@idols,object,misc
أصنامها,@idols,object,misc
رثاء,@PoetryLament,entity,misc
نسبه,@genealogy,entity,misc
تفسير,@Tafsir,entity,misc
شعره,@Poetry,entity,misc
خطبه,@Khutba,entity,misc
خطب,@Khutba,entity,misc
يومها,@Dating,entity,misc
عددهم,@Quantity,entity,misc
تاريخها,@Dating,entity,misc
تحريض,@provocation,entity,misc
أموال,@spoils,object,misc
الفيء,@spoils,object,misc
اليمن,@Yemen,place,place
العراق,@Iraq,place,place
يثرب,@Medina,place,place
المدينة,@Medina,place,place
البيت,@KaCba,place,place
الكعبة,@KaCba,place,place
الحبشة,@Abyssinia,place,place
مكة,@Mecca,place,place
الشام,@GreaterSyria,place,place
عمان,@Oman,place,place
زمزم,@Zamzam,place,place
الموصل,@Mosul,place,place
نصيبين,@Nisibis,place,place
عمورية,@Amorium,place,place
العقبة,@Caqaba,place,place
مسجد قباء,@QubaMosque,place,place
قباء,@QubaMosque,place,place
نجران,@Najran,place,place
ودان,@Waddan,place,place
بواط,@Buwat,place,place
العشيرة,@Ushayra,place,place
صفوان,@Safwan,place,place
بدر,@Badr,place,place
الكدر,@Kudr,place,place
القردة,@Qarada,place,place
 خيبر,@Khaybar,place,place
مؤتة,@Muta,place,place
الطائف,@Taif,place,place
تبوك,@Tabuk,place,place
فلسطين,@Palestine,place,place
سيف البحر,@Coast,place,place
مصر,@Egypt,place,place
الحضر,@Hatra,place,place
للكعبة,@KaCba,place,place
مسجد المدينة,@QubaMosque,place,place
مسجد,@Mosque,place,place
بدرا,@Badr,place,place
آدم,@AdamProphet,person,Prophet
إسماعيل,@IsmaCilProphet,person,Prophet
إبراهيم,@AbrahamProphet,person,Prophet
موسى,@MosesProphet,person,Prophet
عيسى,@JesusProphet,person,Prophet
نوح,@NoahProphet,person,Prophet
ابن هشام,@IbnHishamAuthor,person,Other person
معد,@MaCd,person,Other person
عدنان,@Cadnan,person,Other person
عك,@Cak,person,Other person
قضاعة,@QudaCa,person,Other person
قنص بن معد,@QunusIbnMaCd,person,Other person
النعمان بن المنذر,@NuCmanIbnMundhir,person,Other person
النعمان,@NuCmanIbnMundhir,person,Other person
لخم بن عدي,@LakhmIbnCadi,person,Other person
عمرو بن عامر,@CamrIbnCamir,person,Other person
ربيعة بن نصر,@RabiCIbnNasr,person,Other person
سطيح,@SatihSoothsayer,person,Other person
أبرهة,@Abraha,person,Other person
شق,@ShiqqSoothsayer,person,Other person
بجيلة,@Bajila,person,Other person
تبان,@Tiban,person,Other person
عمرو بن طلة,@CAmrIbnTalla,person,Other person
حسان بن تبان,@HassanIbnTiban,person,Other person
عمرو,@CAmrIbnTiban,person,Other person
ذي نواس,@DhuNuwas,person,Other person
ذي شناتر,@DhuShanatir,person,Other person
عبد الله بن الثامر,@CabdallahIbnalThamir,person,Other person
ابن الثامر,@CabdallahIbnalThamir,person,Other person
قيصر,@EmperorRome,person,Other person
أرياط,@Aryat,person,Other person
النجاشي,@Negus,person,Other person
نفيل,@NufaylIbnHabib,person,Other person
عبد المطلب,@AbdalMuttalib,person,Other person
حناطة,@Hunata,person,Other person
ذو نفر,@DhuNafr,person,Other person
أنيس,@Unays,person,Other person
خويلد,@KhuwaylidIbnWathila,person,Other person
الأسود بن مقصود,@al-AswadIbnMafsud,person,Other person
سيف بن ذي يزن,@SayfIbnDhuYazan,person,Other person
ابن ذي يزن,@SayfIbnDhuYazan,person,Other person
وهرز,@Wahriz,person,Other person
كسرى,@ChosroesShah,person,Other person
نزار بن معد,@NizarIbnMaCd,person,Other person
مضر,@Mudar,person,Other person
أنمار,@Anmar,person,Other person
إلياس,@Ilyas,person,Other person
عمرو بن لحي,@CamrIbnLuhayy,person,Other person
عبد مناف,@AbdManaf,person,Other person
هاشم,@Hashim,person,Other person
عوف بن لؤي,@CaufIbnLuay,person,Other person
قصي بن كلاب,@QusayyIbnKilab,person,Other person
عبد شمس,@AbdShams,person,Other person
عبد الله بن عبد المطلب,@AbdAllahIbnMutallib,person,Other person
حليمة,@Halima,person,Other person
آمنة,@AminaMotherProphet,person,Other person
العباس,@CabbasIbnCabdMutallib,person,Other person
أبي طالب,@AbuTalib,person,Other person
أبو طالب,@AbuTalib,person,Other person
بحيرى,@BahiraMonk,person,Other person
خديجة,@KhadijaWife,person,Other person
جبريل,@GabrielAngel,person,Other person
علي بن أبي طالب,@CaliIbnAbiTalib,person,Other person
علي,@CaliIbnAbiTalib,person,Other person
أبي بكر,@AbuBakr,person,Other person
أبو بكر,@AbuBakr,person,Other person
عثمان,@CuthmanIbnAffan,person,Other person
الزبير ,@ZubayrIbnAwwam,person,Other person
طلحة,@TalhaIbnUbayullah,person,Other person
الوليد بن المغيرة,@WalidIbnMughira,person,Other person
حمزة,@HamzaIbnCabdMutallib,person,Other person
أبي جهل,@AbuJahl,person,Other person
أبو جهل,@AbuJahl,person,Other person
عتبة بن ربيعة,@CutbaIbnRabiCa,person,Other person
أبو سفيان,@AbuSufyan,person,Other person
أبي سفيان,@AbuSufyan,person,Other person
الأخنس,@AkhnasIbnShariq,person,Other person
بلال,@Bilal,person,Other person
ابن عباس,@CabdAllahIbnCabbas,person,Other person
عمر بن الخطاب,@CumarIbnKhattab,person,Other person
عمر,@CumarIbnKhattab,person,Other person
أسعد بن زرارة,@AsaCdIbnZurara,person,Other person
ذي القرنين,@DhuQarnayn,person,Other person
ذو القرنين,@DhuQarnayn,person,Other person
ذا القرنين,@DhuQarnayn,person,Other person
زكريا,@ZakariaProphet,person,Other person
مريم,@Maryam,person,Other person
عامر,@Camir,person,Other person
عائشة,@CaishaProphetWife,person,Other person
عبيدة بن الحارث,@UbaydaIbnHarith,person,Other person
أبي سفيان,@AbuSufyan,person,Other person
أبو سفيان,@AbuSufyan,person,Other person
سهيل بن عمرو,@SuhaylIbnCamr,person,Other person
أبي العاص بن الربيع,@AbuCasIbnRabiCa,person,Other person
أبو العاص بن الربيع,@AbuCasIbnRabiCa,person,Other person
أبي العاص,@AbuCasIbnRabiCa,person,Other person
أبو العاص,@AbuCasIbnRabiCa,person,Other person
زينب,@ZaynabBintMuhammad,person,Other person
زيد بن حارثة,@ZaydIbnHaritha,person,Other person
هند,@Hind,person,Other person
عمرو بن العاص ,@CamrIbnCas,person,Other person
خالد بن الوليد,@KhalidIbnWalid,person,Other person
