entity,tag,category
هاجر,@Hajar,person
خندف,@Khindif,person
نوح,@NoahProphet,person
قصي بن كلاب,@QusayyIbnKilab,person
قصي,@QusayyIbnKilab,person
عبد الله,@CabdAllahIbnMutallib,person
عبد الله بن عبد المطلب,@CabdAllahIbnMutallib,person
أبا طالب,@AbuTalib,person
أبا بكر,@AbuBakr,person
عتبة,@CutbaIbnRabiCa,person
أبا جهل,@AbuJahl,person
ملوك الروم,@EmperorRome,person
للعباس,@CabbasIbnCabdMutallib,person
عمرو,@CamrIbnCas,person
خالد,@KhalidIbnWalid,person
سودة,@SawdaWife,person
زينب بنت جحش,@ZaynadBintJahshWife,person
أم سلمة,@UmSalamaWife,person
حفصة,@HafsaWife,person
أم حبيبة,@UmHabibaWife,person
جويرية,@JuwayriyaWife,person
صفية,@SafiyyaWife,person
ميمونة,@MaymunaWife,person
زينب بنت خزيمة,@ZaynadBintKhuzaymaWife,person
العرب,@theArabs,group
النصرانية,@Christianity,group
حمير,@Himyar,group
الفرس,@thePersians,group
الأحباش,@theAbyssinians,group
أولاد,@descendents,group
بني,@descendentsTribe,group
ولد,@descendents,group
القبائل,@TribePeople,group
خزاعة,@BanuKhuzaCa,group
كنانة,@BanuKinana,group
قريش,@Quraysh,group
الكاهنين,@Soothsayers,group
الكهان,@Soothsayers,group
كاهن,@Soothsayers,group
يهود,@Jews,group
الرهبان,@Monks,group
النصارى,@Christians,group
الصحابة,@Companions,group
أصحاب رسول الله,@Companions,group
العداوة,@enemies,group
الأعداء,@enemies,group
عداوت,@enemies,group
المشركين,@polytheists,group
المشركون,@polytheists,group
بني هاشم,@BanuHashim,group
بنو هاشم,@BanuHashim,group
بني أمية,@BanuUmayya,group
بنو أمية,@BanuUmayya,group
بني أسد,@BanuAsad,group
بنو أسد,@BanuAsad,group
بنو عبد شمس,@BanuCabdShams,group
بني عبد شمس,@BanuCabdShams,group
بني نوفل,@BanuNaufal,group
بنو نوفل,@BanuNaufal,group
بني عبد بن قصي,@BanuCabdIbnQusayy,group
بنو عبد بن قصي,@BanuCabdIbnQusayy,group
بني عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group
بنو عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group
بني عبد الدار,@BanuCabdDar,group
بنو عبد الدار,@BanuCabdDar,group
بني زهرة,@BanuZuhra,group
بنو زهرة,@BanuZuhra,group
 بني هذيل,@BanuHudayl,group
 بنو هذيل,@BanuHudayl,group
بني تيم,@BanuTaym,group
بنو تيم,@BanuTaym,group
بني مخزوم,@BanuMakhzum,group
بنو مخزوم,@BanuMakhzum,group
بني جمح,@BanuJumah,group
بنو جمح,@BanuJumah,group
بني سهم,@BanuSahm,group
بنو سهم,@BanuSahm,group
سهم,@BanuSahm,group
بني عدي,@BanuCadiyy,group
بنو عدي,@BanuCadiyy,group
بني عامر,@BanuCamir,group
بنو عامر,@BanuCamir,group
بني الحارث,@BanuHarith,group
بنو الحارث,@BanuHarith,group
المهاجرين,@Immigrants,group
المهاجرون,@Immigrants,group
ثقيف,@BanuThaqif,group
بني كلب,@BanuKalb,group
بنو كلب,@BanuKalb,group
بني حنيفة,@BanuHanifa,group
بنو حنيفة,@BanuHanifa,group
الأنصار,@Helpers,group
بني النجار,@BanuNajjar,group
بنو النجار,@BanuNajjar,group
بني زريق,@BanuZurayq,group
بنو زريق,@BanuZurayq,group
بني عوف,@BanuCauf,group
بنو عوف,@BanuCauf,group
بني سالم,@BanuSalim,group
بنو سالم,@BanuSalim,group
بني سلمة,@BanuSalima,group
بنو سلمة,@BanuSalima,group
بني سواد,@BanuSawad,group
بنو سواد,@BanuSawad,group
الأوس,@BanuAus,group
بني عمرو,@BanuCamr,group
بنو عمرو,@BanuCamr,group
بني عبد الأشهل,@BanuCabdAshhal,group
بنو عبد الأشهل,@BanuCabdAshhal,group
بني حارثة بن الحارث,@BanuHarithIbnHarith,group
بنو حارثة بن الحارث,@BanuHarithIbnHarith,group
بني  عمرو بن عوف,@BanuCamrIbnCauf,group
بنو  عمرو بن عوف,@BanuCamrIbnCauf,group
بني عمرو بن مبذول,@BanuCamrIbnMabdhul,group
بنو عمرو بن مبذول,@BanuCamrIbnMabdhul,group
 بني عمرو بن مالك,@BanuCamrIbnMalik,group
 بنو عمرو بن مالك,@BanuCamrIbnMalik,group
بني مازن بن النجار,@BanuMazimIbnNajjar,group
بنو مازن بن النجار,@BanuMazimIbnNajjar,group
بني بياضة ,@BanuBayadaIbnCamir,group
بنو بياضة,@BanuBayadaIbnCamir,group
بني غنم بن سواد,@BanuGhanamIbnSawad,group
بنو غنم بن سواد,@BanuGhanamIbnSawad,group
بني نابي بن عمرو,@BanuNabiIbnCamr,group
بنو نابي بن عمرو,@BanuNabiIbnCamr,group
بني حرام بن كعب,@BanuHaramIbnKaCb,group
بنو حرام بن كعب,@BanuHaramIbnKaCb,group
بني عوف بن الخزرج,@BanuCaufIbnKhazraj,group
بنو عوف بن الخزرج,@BanuCaufIbnKhazraj,group
بني ساعدة,@BanuSaCidaIbnKaCb,group
بنو ساعدة,@BanuSaCidaIbnKaCb,group
بني مازن بن النجار,@BanuMazinIbnNajjar,group
بنو مازن بن النجار,@BanuMazinIbnNajjar,group
بني سالم بن غنم,@BanuSalimIbnGhanm,group
بنو سالم بن غنم,@BanuSalimIbnGhanm,group
الخزرج بن حارثة,@BanuKhazrajIbnHaritha,group
بلحارث بن الخزرج,@BanuHarithIbnKhazraj,group
بني سلمة بن سعد,@BanuSalamaIbnSacd,group
بنو سلمة بن سعد,@BanuSalamaIbnSacd,group
بني سواد بن غنم,@BanuSawadIbnGhanm,group
بنو سواد بن غنم,@BanuSawadIbnGhanm,group
بني النضير,@BanuNadir,group
بنو النضير,@BanuNadir,group
بني ثعلبة,@BanuThaClaba,group
بنو ثعلبة,@BanuThaClaba,group
بني قينقاع,@BanuQaynuqaC,group
بنو قينقاع,@BanuQaynuqaC,group
بني قريظة,@BanuQurayza,group
بنو قريظة,@BanuQurayza,group
بني حارثة,@BanuHaritha,group
بنو حارثة,@BanuHaritha,group
 بنى حبيب,@BanuHubayb,group
 بنو حبيب,@BanuHubayb,group
بني ضبيعة,@BanuDubayCa,group
بنو ضبيعة,@BanuDubayCa,group
بني لوذان,@BanuLaudhan,group
بنو لوذان,@BanuLaudhan,group
بني عبيد,@BanuCubayd,group
بنو عبيد,@BanuCubayd,group
بني النبيت,@BanuNabit,group
بنو النبيت,@BanuNabit,group
بني ظفر,@BanuZafar,group
بنو ظفر,@BanuZafar,group
اليمن,@Yemen,place
العراق,@Iraq,place
يثرب,@Medina,place
المدينة,@Medina,place
البيت,@KaCba,place
الكعبة,@KaCba,place
الحبشة,@Abyssinia,place
مكة,@Mecca,place
الشام,@GreaterSyria,place
عمان,@Oman,place
زمزم,@Zamzam,place
الموصل,@Mosul,place
نصيبين,@Nisibis,place
عمورية,@Amorium,place
العقبة,@Caqaba,place
مسجد قباء,@QubaMosque,place
قباء,@QubaMosque,place
نجران,@Najran,place
ودان,@Waddan,place
بواط,@Buwat,place
العشيرة,@Ushayra,place
صفوان,@Safwan,place
بدر,@Badr,place
الكدر,@Kudr,place
القردة,@Qarada,place
 خيبر,@Khaybar,place
مؤتة,@Muta,place
الطائف,@Taif,place
تبوك,@Tabuk,place
فلسطين,@Palestine,place
سيف البحر,@Coast,place
مصر,@Egypt,place
الحضر,@Hatra,place
للكعبة,@KaCba,place
مسجد المدينة,@QubaMosque,place
مسجد,@Mosque,place
بدرا,@Badr,place
مقتل,@killed,event
قتل,@killed,event
استشهد,@martyred,event
استشهاد,@martyred,event
موت,@death,event
وفاة,@death,event
ابتداء,@beginning,event
المستولي,@occupation,event
مستولي,@occupation,event
استيلاء,@occupation,event
افتتاح,@occupation,event
الفيل,@theElephant,event
الهجرة الأولى,@MigrationAbyssinia,event
هجرة,@migration,event
الهجرة,@migration,event
هجرته,@migration,event
غزو,@raid,event
غزوة,@raid,event
الغزوات,@raid,event
سرية,@expedition,event
قتال,@fighting,event
القتال,@fighting,event
دفن,@Burial,event
الحج,@Hajj,event
ولادة,@Birth,event
تزويج,@Marriage,event
زواج,@Marriage,event
الحمس,@Hums,event
إسلام,@ConversiontoIslam,event
أسلم,@ConversiontoIslam,event
تنزيل القرآن,@RevelationQuran,event
ما أنزل الله,@RevelationQuran,event
ما أنزله الله,@RevelationQuran,event
ما نزل فيه,@RevelationQuran,event
نزول سورة,@RevelationQuran,event
ما نزل فيهم,@RevelationQuran,event
نزول آيات,@RevelationQuran,event
نزول هذه الآية,@RevelationQuran,event
ما نزل في,@RevelationQuran,event
ما نزل فيمن,@RevelationQuran,event
ما نزل من,@RevelationQuran,event
نزول القرآن,@RevelationQuran,event
نزول براءة,@RevelationQuran,event
الصحيفة,@Boycott,event
المعراج,@MiCraj,event
من شهد,@witnessing,event
الأذان,@CallToPrayer,event
بدر الكبرى,@BadrBattle,event
يوم بدر,@BadrBattle,event
غزوة أحد,@UhudBattle,event
يوم أحد,@UhudBattle,event
غزوة الخندق,@TrenchBattle,event
يوم الخندق,@TrenchBattle,event
أسرى,@TakenPrisoner,event
الحديبية,@HudaybiyyaTreaty,event
الهدنة,@Truce,event
الصلح,@Truce,event
يوم خيبر,@KhaybarExpedition,event
المسير إلى خيبر,@KhaybarExpedition,event
غزوة مؤتة,@MutaRaid,event
فتح مكة,@MeccaSiege,event
غزوة الطائف,@TaifRaid,event
يوم الطائف,@TaifRaid,event
غزوة تبوك,@TabukRaid,event
أزواج,@Marriage,event
شكوى,@Illness,event
تمريض,@Illness,event
المرض,@Illness,event
سقيفة,@Saqifa,event
قتله,@killed,event
موته,@death,event
قبره,@Burial,event
الفضول,@FudulConfederacy,event
ميلاد,@Birth,event
نكاح,@Marriage,event
تزوج,@Marriage,event
تزوجه,@Marriage,event
زواجه,@Marriage,event
إسلامه,@ConversiontoIslam,event
ما أنزله تعالى,@RevelationQuran,event
نزول آية,@RevelationQuran,event
مهاجرة,@migration,event
للصحيفة,@Boycott,event
إلى الإسلام,@ConversiontoIslam,event
عهدا,@Agreement,event
عهد,@Agreement,event
العهد,@Agreement,event
من شهدها,@witnessing,event
مرض,@Illness,event
السرية,@expedition,event
سريته,@expedition,event
شهود,@witnessing,event
من حضر,@attending,event
قتلى,@killed,event
أمر,@AffairStory,event
خبر,@AffairStory,event
قصة,@AffairStory,event
قتله,@killed,event
الموت,@death,event
مقتله,@killed,event
هاجر,@migration,event
للقتال,@fighting,event
صفر,@SafarMonth,time
سنة ثلاث,@Year3,time
سنة أربع,@Year4,time
شعبان,@ShaCbanMonth,time
ربيع الأول,@RabiCAwwalMonth,time
سنة خمس,@Year5,time
شوال,@ShawwalMonth,time
سنة ست,@Year6,time
المحرم ,@MuharramMonth,time
سنة سبع,@Year7,time
ذي القعدة,@DhuQaCdaMonth,time
ذو القعدة,@DhuQaCdaMonth,time
سنة ثمان,@Year8,time
جمادى الأولى,@JumadaAwwalMonth,time
رمضان,@RamadanMonth,time
رجب,@RajabMonth,time
سنة تسع,@Year9,time
ربيع الآخر,@RabiCAkharlMonth,time
ربيع الثاني,@RabiCAkharlMonth,time
جمادى الآخرة,@JumadaAkharMonth,time
جمادى الثانية,@JumadaAkharMonth,time
ذي الحجة,@DhuHijjaMonth,time
ذو الحجة,@DhuHijjaMonth,time
سنة ثماني,@Year8,time
