Order,Ibn Hisham text,Ibn Hisham UI,Column1,Tabari Text,Tabari UI,Column2,Ibn Sa'd Text,Ibn Sa'd UI,Column3,Section of storyline,Column4,Importance,Total PRI
22,غزوة حنين في سنة ثمان بعد الفتح,201.0.0,,,,,غزوة رسول الله - صلى الله عليه وسلم - إلى حنين «1»,2.1.72.1.0,,Maghazi,,SEC,
23,ذكر غزوة الطائف بعد حنين في سنة ثمان,202.0.0,, غزوه الطائف,4.2.12.0,,غزوة رسول الله - صلى الله عليه وسلم - الطائف «1»,2.1.74.1.0,,Maghazi,,SEC,
24,,,,عمرة رسول الله من الجعرانة,4.2.14.0,,ذكر عمرة النبي- صلى الله عليه وسلم -,2.1.85.1.0,,Maghazi,,SEC,
25,غزوة تبوك في رجب سنة تسع,206.0.0,,ذكر الخبر عن غزوة تبوك,4.3.2.0,,غزوة رسول الله - صلى الله عليه وسلم - تبوك «1»,2.1.81.1.0,,Maghazi,,SEC,
26,,,,قدوم رسول ملوك حمير على رسول الله بكتابهم,4.3.5.0,,,,,Maghazi,,SEC,
27,أمر وفد ثقيف وإسلامها في شهر رمضان سنة تسع,209.0.0,,,,,,,,Maghazi,,SEC,
28,,,,كتاب مسيلمه الى رسول الله والجواب عنه,4.4.14.0,,,,,Maghazi,,SEC,
29,وصية الرسول معاذا حين بعثه إلى اليمن,225.0.0,,,,,,,,Maghazi,,SEC,
30,,,,,,,حجة أبي بكر الصديق بالناس «1»,2.1.82.1.0,,Maghazi,,SEC,
31,حجة الوداع,233.0.0,,حجه الوداع,4.4.16.0,,حجة الوداع,2.1.86.1.0,,Maghazi,,PRI,
32,سرية زيد بن حارثة إلى مدين,252.0.0,,,,,,,,Maghazi,,SEC,
33, غزوة علي بن أبي طالب إلى اليمن,258.0.0,,سريه على بن ابى طالب الى اليمن,4.4.4.0,,,,,Maghazi,,SEC,
34,بعث أسامة بن زيد إلى أرض فلسطين وهو آخر البعوث,259.0.0,,,,,سرية أسامة بن زيد بن حارثة «2»,2.1.87.1.0,,Maghazi,,SEC,
35,,,,,,,ذكر عرض رسول الله - صلى الله عليه وسلم - القرآن على جبريل واعتكافه في السنة التي قبض فيها,2.3.0.0.0,,Maghazi,,SEC,
36,,,,,,,ذكر خروج رسول الله - صلى الله عليه وسلم - إلى البقيع واستغفاره لأهله والشهداء,2.6.0.0.0,,Maghazi,,SEC,
37,ابتداء شكوى رسول الله صلى الله عليه وسلم,260.0.0,,ذكر الخبر عن بدء مرض رسول الله الذي توفي فيه وما كان منه قبيل ذلك لما نعيت اليه نفسه ص,4.4.41.0,,ذكر أول ما بدأ برسول الله - صلى الله عليه وسلم - وجعه الذي توفى فيه,2.7.0.0.0,,Maghazi,,SEC,
38,ذكر أزواجه صلى الله عليه وسلم أمهات المؤمنين,261.0.0,,ذكر الخبر عن أزواج رسول الله ص,4.4.21.0,,,,,Maghazi,,SEC,
39,,,,,,,ذكر صلاة رسول الله - صلى الله عليه وسلم - بأصحابه في مرضه,2.10.0.0.0,,Maghazi,,SEC,
40,,,,,,,ذكر ما قال رسول الله - صلى الله عليه وسلم - لفاطمة ابنته في مرضه.صلوات الله عليهما وسلامه,2.23.0.0.0,,Maghazi,,SEC,
41,تمريض رسول الله في بيت عائشة,262.0.0,,,,,ذكر استئذان رسول الله - صلى الله عليه وسلم - نساءه أن يمرض في بيت عائشة,2.16.0.0.0,,Maghazi,,SEC,
42,,,,,,,ذكر وفاة رسول الله- صلى الله عليه وسلم -,2.28.0.0.0,,Maghazi,,PRI,
43,جهاز رسول الله صلى الله عليه وسلم ودفنه,264.0.0,,ذكر جهاز رسول الله ص ودفنه,4.6.2.0,,,,,Maghazi,,PRI,
44,,,,ذكر صفه النبي ص,4.4.37.0,,ذكر صفة أخلاق رسول الله- صلى الله عليه وسلم -,1.75.0.0.0,,Maghazi,,SEC,
45,,,,,,,باب صفة قراءته - صلى الله عليه وسلم - في صلاته وغيرها وحسن صوته- صلى الله عليه وسلم -,1.75.4.0.0,,Maghazi,,SEC,
46,,,,,,,ذكر صفته - صلى الله عليه وسلم - في خطبته,1.75.5.0.0,,Maghazi,,SEC,
47,,,,,,, ذكر محاسن أخلاقه- صلى الله عليه وسلم -,1.75.9.0.0,,Maghazi,,SEC,
48,,,,,,, ذكر صلاة رسول الله- صلى الله عليه وسلم -,1.75.10.0.0,,Maghazi,,SEC,
49,,,,,,, ذكر طعام رسول الله - صلى الله عليه وسلم - وما كان يعجبه منه,1.75.12.0.0,,Maghazi,,SEC,
50,,,,,,, ذكر خاتم النبوة الذي كان بين كتفي رسول الله- صلى الله عليه وسلم -,1.77.1.0.0,,Maghazi,,SEC,
51,,,,,,, ذكر لباس رسول الله - صلى الله عليه وسلم - وما روي في البياض,1.82.0.0.0,,Maghazi,,SEC,
52,,,,أسماء خيل رسول الله ص,4.4.27.0,,,,,Maghazi,,SEC,
53,,,,ذكر أسماء سيوف رسول الله ص,4.4.32.0,,ذكر سيوف رسول الله- صلى الله عليه وسلم -,1.99.0.0.0,,Maghazi,,SEC,
54,,,, ذكر أسماء رسول الله ص,4.4.36.0,,ذكر ما سم به رسول الله- صلى الله عليه وسلم -,2.5.0.0.0,,Maghazi,,SEC,
