Order,Ibn Hisham text,Ibn Hisham UI,Tabari Text,Tabari UI,Ibn Sa'd Text,Ibn Sa'd UI,Section of storyline,Importance
1,ذكر ما قيل لآمنة عند حملها برسول الله صلى الله عليه وسلم,41.0.0, ذكر مولد رسول الله ص,69.23.1.0.0,ذكر حمل آمنة برسول الله- صلى الله عليه وسلم - كثيرا,1.21.0.0.0,Mabath,SEC
2, ولادة رسول الله صلى الله عليه وسلم ورضاعته,42.0.0, ذكر مولد رسول الله ص,69.23.0.0.0,ذكر مولد رسول الله- صلى الله عليه وسلم -,1.23.0.0.0,Mabath,PRI
3,وفاة آمنة وحال رسول الله صلى الله عليه وسلم مع جده عبد المطلب بعدها,43.0.0,ذكر مولد رسول الله ص,69.23.2.0.0,ذكر وفاة آمنة أم رسول الله- صلى الله عليه وسلم -,1.27.0.0.0,Mabath,SEC
4,وفاة عبد المطلب. وما رثي به من الشعر,44.0.0,ذكر مولد رسول الله ص,69.23.3.0.0,ذكر ضم عبد المطلب رسول الله - صلى الله عليه وسلم - إليه بعد وفاة أمه,1.28.0.0.0,Mabath,SEC
5,كفالة أبي طالب لرسول الله صلى الله عليه وسلم,45.0.0,ذكر مولد رسول الله ص,69.23.3.0.0,ذكر أبي طالب وضمه رسول الله- صلى الله عليه وسلم - إليه وخروجه معه  إلى الشام في المرة الأولى,1.29.0.0.0,Mabath,SEC
6,قصة بحيرى,46.0.0,,,,,Mabath,PRI
7,,,,,ذكر حضور رسول الله - صلى الله عليه وسلم - حرب الفجار ,1.31.0.0.0,Mabath,SEC
8,,,,,ذكر حضور رسول الله - صلى الله عليه وسلم - حلف الفضول,1.32.0.0.0,Mabath,SEC
9,حديث تزويج رسول الله صلى الله عليه وسلم خديجة رضي الله عنها,48.0.0, ذكر تزويج النبي ص خديجة رضي الله عنها,70.3.0.0.0,ذكر تزويج رسول الله - صلى الله عليه وسلم - خديجة بنت خويلد ,1.34.0.0.0 ,Mabath,SEC
10,,,,,ذكر أولاد رسول الله - صلى الله عليه وسلم - وتسميتهم ,1.35.0.0.0,Mabath,SEC
11,حديث بنيان الكعبة وحكم رسول الله صلى الله عليه وسلم بين قريش في وضع الحجر,49.0.0,"ذكر باقي الأخبار عن الكائن من أمر رسول الله ص قبل أن ينبأ، وما كان بين مولده ووقت نبوته من الأحداث في بلده",70.4.0.0.0,ذكر حضور رسول الله- صلى الله عليه وسلم - هدم قريش الكعبة وبناءها,1.37.0.0.0,Mabath,SEC
12,,,,,ذكر نبوة رسول الله- صلى الله عليه وسلم -,1.38.0.0.0,Mabath,SEC
13,,,,,ذكر علامات النبوة في رسول الله- صلى الله عليه وسلم - قبل أن يوحى إليه,1.39.0.0.0,Mabath,SEC
14,ابتداء تنزيل القرآن,57.0.0,ذكر من قال ذلك,70.5.2.0.0,ذكر نزول الوحي على رسول الله- صلى الله عليه وسلم - ,1.44.0.0.0,Mabath,PRI
15,إسلام خديجة بنت خويلد,58.0.0,ذكر الخبر عما كان من أمر نبي الله ص عند ابتداء الله تعالى ذكره إياه بإكرامه بإرسال جبريل ع إليه بوحيه,70.7.0.0.0,,,Mabath,SEC
16,,,,,ذكر دعاء رسول الله - صلى الله عليه وسلم - الناس إلى الإسلام,1.47.0.0.0,Mabath,SEC
17,ابتداء فرض الصلاة,59.0.0,ذكر الخبر عما كان من أمر نبي الله ص عند ابتداء الله تعالى ذكره إياه بإكرامه بإرسال جبريل ع إليه بوحيه,70.8.0.0.0,,,Mabath,SEC
18,ذكر أن علي بن أبي طالب رضي الله عنه أول ذكر أسلم,60.0.0,ذكر من قال ذلك:,70.8.4.0.0,,,Mabath,SEC
19,إسلام أبي بكر الصديق رضي الله عنه وشأنه,62.0.0,ذكر من قال ذلك:,70.8.4.1.0,,,Mabath,SEC
20,ذكر الهجرة الأولى إلى أرض الحبشة,73.0.0, ذكر من قال ذلك,70.8.7.0.0,ذكر هجرة من هاجر من أصحاب رسول الله- صلى الله عليه وسلم - إلى أرض الحبشة في المرة الأولى,1.49.0.0.0,Mabath,PRI
21,إسلام عمر بن الخطاب رضي الله عنه,77.0.0,ذكر من قال ذلك,70.8.7.1.0,,,Mabath,SEC
22,,,,,ذكر سبب خروج رسول الله- صلى الله عليه وسلم - إلى الطائف,1.53.0.0.0,Mabath,SEC
23,قصة المعراج,95.0.0,,,ذكر المعراج وفرض الصلوات,1.54.0.0.0,Mabath,PRI
24,,,,,ذكر ليلة أسري برسول الله - صلى الله عليه وسلم - إلى بيت المقدس,1.55.0.0.0,Mabath,SEC
25,وفاة أبي طالب وخديجة,98.0.0, ذكر من قال ذلك,70.8.7.2.0,,,Mabath,SEC
26,العقبة الأولى ومصعب بن عمير,103.0.0, ذكر من قال ذلك,70.8.7.3.0,ذكر العقبة الأولى الاثني عشر,1.58.0.0.0,Mabath,SEC
27, شروط البيعة في العقبة الأخيرة,108.0.0, ذكر من قال ذلك,70.8.7.4.0,ذكر العقبة الآخرة وهم السبعون الذين بايعوا رسول الله ص,1.59.0.0.0,Mabath,SEC
28,,,,,ذكر إذن رسول الله - صلى الله عليه وسلم - للمسلمين في الهجرة إلى المدينة,1.61.0.0.0,Mabath,SEC
29,هجرة الرسول صلى الله عليه وسلم,114.0.0,ذكر من قال ذلك,70.8.7.5.0,ذكر خروج رسول الله - صلى الله عليه وسلم - وأبي بكر إلى المدينة للهجرة,1.62.0.0.0,Mabath,PRI
1,,,,,ذكر بيوت رسول الله - صلى الله عليه وسلم - وحجر أزواجه,1.108.0.0.0,Maghazi,SEC
2,,,,,ذكر بناء رسول الله - صلى الله عليه وسلم - المسجد بالمدينة,1.64.0.0.0,Maghazi,PRI
3,خبر الأذان,117.0.0,,,ذكر الأذان,1.67.0.0.0,Maghazi,SEC
4,,,خطبه رسول الله ص في أول جمعة جمعها بالمدينة,71.1.0.0.0,,,Maghazi,SEC
5,غزوة ودان وهي أول غزواته عليه الصلاة والسلام ,130.0.0,,,,,Maghazi,SEC
6,صرف القبلة إلى الكعبة,138.0.0,ذكر من قال ذلك,72.3.1.0.0,ذكر صرف القبلة عن بيت المقدس إلى الكعبة,1.65.0.0.0,Maghazi,SEC
7,,,,,ذكر فرض شهر رمضان وزكاة الفطر وصلاة العيدين وسنة الأضحية,1.68.0.0.0,Maghazi,SEC
8, غزوة بدر الكبرى,139.0.0,ذكر وقعة بدر الكبرى,72.4.0.0.0,غزوة بدر ,2.1.8.0.0,Maghazi,PRI
9,نزول سورة الأنفال,146.0.0,,,,,Maghazi,SEC
10,أمر بني قينقاع,157.0.0,غزوة بني قينقاع,72.5.0.0.0,,,Maghazi,SEC
11,غزوة أحد,161.0.0,غزوة أحد,73.5.0.0.0,غزوة رسول الله - صلى الله عليه وسلم - أحدا,2.1.18.0.0,Maghazi,PRI
12,أمر إجلاء بني النضير في سنة أربع,168.0.0,ذكر خبر جلاء بني النضير,74.4.0.0.0,غزوة رسول الله - صلى الله عليه وسلم - بني النضير ,2.1.24.0.0,Maghazi,SEC
13,غزوة دومة الجندل في شهر ربيع الأول سنة خمس,171.0.0,,,غزوة رسول الله - صلى الله عليه وسلم - دومة الجندل,2.1.27.0.0,Maghazi,SEC
14,,,ففي هذه السنه تزوج رسول الله ص زينب بنت جحش,75.1.0.0.0,,,Maghazi,SEC
15,غزوة الخندق [1] في شوال سنة خمس,172.0.0,ذكر الخبر عن غزوة الخندق,75.3.0.0.0,غزوة رسول الله - صلى الله عليه وسلم - الخندق وهي غزوة الأحزاب»,2.1.29.0.0,Maghazi,PRI
16,أمر الحديبية,181.0.0,"ذكر الخبر عن عمره النبي ص التي صده المشركون فيها عن البيت، وهي قصة الحديبية",76.5.0.0.0,غزوة رسول الله - صلى الله عليه وسلم - الحديبية «1»,2.1.49.0.0,Maghazi,SEC
17,أمر الهدنة,183.0.0,,,,,Maghazi,SEC
18, بقية أمر خيبر,187.0.0,غزوة خيبر,77.1.0.0.0,غزوة رسول الله - صلى الله عليه وسلم - خيبر ,2.1.50.0.0,Maghazi,SEC
19,ذكر قدوم جعفر بن أبي طالب من الحبشة وحديث المهاجرين إلى الحبشة ,193.0.0,,,,,Maghazi,SEC
20,"ذكر غزوة مؤتة في جمادى الأولى سنة ثمان، ومقتل جعفر وزيد وعبد الله بن رواحة ",195.0.0,ذكر الخبر عن غزوة مؤتة,78.7.0.0.0,سرية مؤتة,2.1.62.0.0,Maghazi,SEC
21,ذكر الأسباب الموجبة المسير إلى مكة وذكر فتح مكة في شهر رمضان سنة ثمان,196.0.0,ذكر الخبر عن فتح مكة,78.8.0.0.0,غزوة رسول الله - صلى الله عليه وسلم - عام الفتح ,2.1.67.0.0,Maghazi,PRI
22,غزوة حنين في سنة ثمان بعد الفتح,200.0.0,,,غزوة رسول الله - صلى الله عليه وسلم - إلى حنين,2.1.72.0.0,Maghazi,SEC
23,ذكر غزوة الطائف بعد حنين في سنة ثمان,201.0.0, غزوه الطائف,78.12.0.0.0,غزوة رسول الله - صلى الله عليه وسلم - الطائف,2.1.74.0.0,Maghazi,SEC
24,,,عمرة رسول الله من الجعرانة,78.14.0.0.0,ذكر عمرة النبي- صلى الله عليه وسلم -,2.1.85.0.0,Maghazi,SEC
25,غزوة تبوك في رجب سنة تسع,205.0.0,ذكر الخبر عن غزوة تبوك,79.2.0.0.0,غزوة رسول الله - صلى الله عليه وسلم - تبوك,2.1.81.0.0,Maghazi,SEC
26,,,قدوم رسول ملوك حمير على رسول الله بكتابهم,79.5.0.0.0,,,Maghazi,SEC
27,أمر وفد ثقيف وإسلامها في شهر رمضان سنة تسع,208.0.0,,,,,Maghazi,SEC
28,,,كتاب مسيلمه الى رسول الله والجواب عنه,80.14.0.0.0,,,Maghazi,SEC
29,وصية الرسول معاذا حين بعثه إلى اليمن,224.0.0,,,,,Maghazi,SEC
30,,,,,حجة أبي بكر الصديق بالناس,2.1.82.0.0,Maghazi,SEC
31,حجة الوداع,232.0.0,حجه الوداع,80.16.0.0.0,حجة الوداع,2.1.86.0.0,Maghazi,PRI
32,سرية زيد بن حارثة إلى مدين,251.0.0,,,,,Maghazi,SEC
33, غزوة علي بن أبي طالب إلى اليمن,257.0.0,سريه على بن ابى طالب الى اليمن,80.4.0.0.0,,,Maghazi,SEC
34,بعث أسامة بن زيد إلى أرض فلسطين وهو آخر البعوث,258.0.0,,,سرية أسامة بن زيد بن حارثة,2.1.87.0.0,Maghazi,SEC
35,,,,,ذكر عرض رسول الله - صلى الله عليه وسلم - القرآن على جبريل واعتكافه في السنة التي قبض فيها,2.3.0.0.0,Maghazi,SEC
36,,,,,ذكر خروج رسول الله - صلى الله عليه وسلم - إلى البقيع واستغفاره لأهله والشهداء,2.6.0.0.0,Maghazi,SEC
37,ابتداء شكوى رسول الله صلى الله عليه وسلم,259.0.0,ذكر الخبر عن بدء مرض رسول الله الذي توفي فيه وما كان منه قبيل ذلك لما نعيت اليه نفسه ص,80.41.0.0.0,ذكر أول ما بدأ برسول الله - صلى الله عليه وسلم - وجعه الذي توفى فيه,2.7.0.0.0,Maghazi,SEC
38,ذكر أزواجه صلى الله عليه وسلم أمهات المؤمنين,260.0.0,ذكر الخبر عن أزواج رسول الله ص,80.21.0.0.0,,,Maghazi,SEC
39,,,,,ذكر صلاة رسول الله - صلى الله عليه وسلم - بأصحابه في مرضه,2.10.0.0.0,Maghazi,SEC
40,,,,,ذكر ما قال رسول الله - صلى الله عليه وسلم - لفاطمة ابنته في مرضه.صلوات الله عليهما وسلامه,2.23.0.0.0,Maghazi,SEC
41,تمريض رسول الله في بيت عائشة,261.0.0,,,ذكر استئذان رسول الله - صلى الله عليه وسلم - نساءه أن يمرض في بيت عائشة,2.16.0.0.0,Maghazi,SEC
42,,,,,ذكر وفاة رسول الله- صلى الله عليه وسلم -,2.28.0.0.0,Maghazi,PRI
43,جهاز رسول الله صلى الله عليه وسلم ودفنه,263.0.0,ذكر جهاز رسول الله ص ودفنه,82.2.0.0.0,,,Maghazi,PRI
44,,,ذكر صفه النبي ص,80.37.0.0.0,ذكر صفة أخلاق رسول الله- صلى الله عليه وسلم -,1.75.0.0.0,Maghazi,SEC
45,,,,,باب صفة قراءته - صلى الله عليه وسلم - في صلاته وغيرها وحسن صوته- صلى الله عليه وسلم -,1.75.4.0.0,Maghazi,SEC
46,,,,,ذكر صفته - صلى الله عليه وسلم - في خطبته,1.75.5.0.0,Maghazi,SEC
47,,,,, ذكر محاسن أخلاقه- صلى الله عليه وسلم -,1.75.9.0.0,Maghazi,SEC
48,,,,, ذكر صلاة رسول الله- صلى الله عليه وسلم -,1.75.10.0.0,Maghazi,SEC
49,,,,, ذكر طعام رسول الله - صلى الله عليه وسلم - وما كان يعجبه منه,1.75.12.0.0,Maghazi,SEC
50,,,,, ذكر خاتم النبوة الذي كان بين كتفي رسول الله- صلى الله عليه وسلم -,1.77.1.0.0,Maghazi,SEC
51,,,,, ذكر لباس رسول الله - صلى الله عليه وسلم - وما روي في البياض,1.82.0.0.0,Maghazi,SEC
52,,,أسماء خيل رسول الله ص,80.27.0.0.0,,,Maghazi,SEC
53,,,ذكر أسماء سيوف رسول الله ص,80.32.0.0.0,ذكر سيوف رسول الله- صلى الله عليه وسلم -,1.99.0.0.0,Maghazi,SEC
54,,, ذكر أسماء رسول الله ص,80.36.0.0.0,ذكر ما سم به رسول الله- صلى الله عليه وسلم -,2.5.0.0.0,Maghazi,SEC
1,,,,,ذكر تقبيل أبي بكر الصديق رسول الله - صلى الله عليه وسلم - بعد وفاته,2.32.0.0.0,Ayyam,PRI
2,,,,,ذكر الحزن على رسول الله - صلى الله عليه وسلم - ومن ندبه وبكى عليه,2.53.0.0.0,Ayyam,PRI
3,,,ذكر امر ابى بكر في أول خلافته,82.5.0.0.0,,,Ayyam,PRI
