Order,Ibn Hisham text,Ibn Hisham UI,Tabari Text,Tabari UI,Ibn Sa'd Text,Ibn Sa'd UI,Section of storyline,Importance
20,أولاد عبد المطلب بن هاشم,26.0.0,ذكر نسب رسول الله ص وذكر بعض أخبار آبائه وأجداده,3.1.0,ذكر نسب رسول الله - صلى الله عليه وسلم - وتسمية من ولده إلى آدم- صلى,1.10.0.0.0,Mubtada,PRI
21,أمر جرهم ودفن زمزم,28.0.0,,,,,Mubtada,SEC
22,حلف الفضول,37.0.0,,,,,Mubtada,SEC
23,ذكر حفر زمزم وما جرى من الخلف فيها,38.0.0,,,,,Mubtada,SEC
24,ذكر نذر عبد المطلب ذبح ولده,40.0.0,,,,,Mubtada,SEC
1,ذكر ما قيل لآمنة عند حملها برسول الله صلى الله عليه وسلم,42.0.0,,,,,Mabath,SEC
2, ولادة رسول الله صلى الله عليه وسلم ورضاعته,43.0.0, ذكر مولد رسول الله ص,2.6.23,ذكر مولد رسول الله- صلى الله عليه وسلم -,1.23.0.0.0,Mabath,PRI
3,وفاة آمنة وحال رسول الله صلى الله عليه وسلم مع جده عبد المطلب بعدها,44.0.0,,,ذكر وفاة آمنة أم رسول الله- صلى الله عليه وسلم -,1.27.0.0.0,Mabath,SEC
4,وفاة عبد المطلب. وما رثي به من الشعر,45.0.0,,,,,Mabath,SEC
5,كفالة أبي طالب لرسول الله صلى الله عليه وسلم,46.0.0,,,,,Mabath,SEC
6,قصة بحيرى [2],47.0.0,,,,,Mabath,PRI
7,,,,,ذكر حضور رسول الله - صلى الله عليه وسلم - حرب الفجار ,1.31.0.0.0,Mabath,SEC
8,,,,,ذكر حضور رسول الله - صلى الله عليه وسلم - حلف الفضول,1.32.0.0.0,Mabath,SEC
9,حديث تزويج رسول الله صلى الله عليه وسلم خديجة رضي الله عنها,49.0.0, ذكر تزويج النبي ص خديجة رضي الله عنها,3.3.0,ذكر تزويج رسول الله - صلى الله عليه وسلم - خديجة بنت خويلد ,1.34.0.0.0 ,Mabath,SEC
10,,,,,ذكر أولاد رسول الله - صلى الله عليه وسلم - وتسميتهم ,1.35.0.0.0,Mabath,SEC
11,حديث بنيان الكعبة وحكم رسول الله صلى الله عليه وسلم بين قريش في وضع الحجر,50.0.0,,,,,Mabath,SEC
12,,,,,ذكر نبوة رسول الله- صلى الله عليه وسلم -,1.38.0.0.0,Mabath,SEC
13,,,,,ذكر علامات النبوة في رسول الله- صلى الله عليه وسلم - قبل أن يوحى إليه,1.39.0.0.0,Mabath,SEC
14,ابتداء تنزيل القرآن,58.0.0,ذكر الخبر عما كان من أمر نبي الله ص عند ابتداء الله تعالى ذكره إياه بإكرامه بإرسال جبريل ع إليه بوحيه,3.6.0,ذكر نزول الوحي على رسول الله- صلى الله عليه وسلم - ,1.44.0.0.0,Mabath,PRI
15,إسلام خديجة بنت خويلد,59.0.0,,,,,Mabath,SEC
16,,,,,ذكر دعاء رسول الله - صلى الله عليه وسلم - الناس إلى الإسلام,1.47.0.0.0,Mabath,SEC
17,ابتداء فرض الصلاة [2],60.0.0,,,,,Mabath,SEC
18,ذكر أن علي بن أبي طالب رضي الله عنه أول ذكر أسلم,61.0.0,,,,,Mabath,SEC
19,إسلام أبي بكر الصديق رضي الله عنه وشأنه,63.0.0,,,,,Mabath,SEC
20,ذكر الهجرة الأولى إلى أرض الحبشة,74.0.0,,,ذكر هجرة من هاجر من أصحاب رسول الله- صلى الله عليه وسلم - إلى أرض الحبشة في المرة الأولى,1.49.0.0.0,Mabath,PRI
21,إسلام عمر بن الخطاب رضي الله عنه,78.0.0,,,,,Mabath,SEC
22,,,,,ذكر سبب خروج رسول الله- صلى الله عليه وسلم - إلى الطائف,1.53.0.0.0,Mabath,SEC
23,قصة المعراج,96.0.0,,,ذكر المعراج وفرض الصلوات,1.54.0.0.0,Mabath,PRI
24,,,,,ذكر ليلة أسري برسول الله - صلى الله عليه وسلم - إلى بيت المقدس,1.55.0.0.0,Mabath,SEC
25,وفاة أبي طالب وخديجة,99.0.0,,,,,Mabath,SEC
26,العقبة الأولى ومصعب بن عمير,104.0.0,,,ذكر العقبة الأولى الاثني عشر,1.58.0.0.0,Mabath,SEC
27, شروط البيعة في العقبة الأخيرة,109.0.0,,,ذكر العقبة الآخرة وهم السبعون الذين بايعوا رسول الله ص,1.59.0.0.0,Mabath,SEC
28,,,,,ذكر إذن رسول الله - صلى الله عليه وسلم - للمسلمين في الهجرة إلى المدينة,1.61.0.0.0,Mabath,SEC
29,هجرة الرسول صلى الله عليه وسلم,115.0.0,,,ذكر خروج رسول الله - صلى الله عليه وسلم - وأبي بكر إلى المدينة للهجرة,1.62.0.0.0,Mabath,PRI
1,,,,,ذكر بيوت رسول الله - صلى الله عليه وسلم - وحجر أزواجه,1.108.0.0.0,Maghazi,SEC
2,,,,,ذكر بناء رسول الله - صلى الله عليه وسلم - المسجد بالمدينة,1.64.0.0.0,Maghazi,PRI
3,خبر الأذان,118.0.0,,,ذكر الأذان,1.67.0.0.0,Maghazi,SEC
4,,,خطبه رسول الله ص في أول جمعة جمعها بالمدينة,3.8.1,,,Maghazi,SEC
5,غزوة ودان وهي أول غزواته عليه الصلاة والسلام ,131.0.0,,,,,Maghazi,SEC
6,صرف القبلة إلى الكعبة,139.0.0,,,ذكر صرف القبلة عن بيت المقدس إلى الكعبة,1.65.0.0.0,Maghazi,SEC
7,,,,,ذكر فرض شهر رمضان وزكاة الفطر وصلاة العيدين وسنة الأضحية,1.68.0.0.0,Maghazi,SEC
8, غزوة بدر الكبرى,140.0.0,ذكر وقعة بدر الكبرى,3.9.4,غزوة بدر ,2.1.8.0.0,Maghazi,PRI
9,نزول سورة الأنفال,147.0.0,,,,,Maghazi,SEC
10,أمر بني قينقاع,158.0.0,غزوة بني قينقاع,3.9.5,,,Maghazi,SEC
11,غزوة أحد,162.0.0,غزوة أحد,3.10.5,غزوة رسول الله - صلى الله عليه وسلم - أحدا «1»,2.1.18.0.0,Maghazi,PRI
12,أمر إجلاء بني النضير في سنة أربع,169.0.0,ذكر خبر جلاء بني النضير,3.11.4,غزوة رسول الله - صلى الله عليه وسلم - بني النضير «1»,2.1.24.0.0,Maghazi,SEC
13,غزوة دومة الجندل في شهر ربيع الأول سنة خمس,172.0.0,,,,,Maghazi,SEC
14,,,ففي هذه السنه تزوج رسول الله ص زينب بنت جحش,3.12.1,,,Maghazi,SEC
15,غزوة الخندق [1] في شوال سنة خمس,173.0.0,ذكر الخبر عن غزوة الخندق,3.12.3,غزوة رسول الله - صلى الله عليه وسلم - الخندق وهي غزوة الأحزاب»,2.1.29.0.0,Maghazi,PRI
16,أمر الحديبية,182.0.0,"ذكر الخبر عن عمره النبي ص التي صده المشركون فيها عن البيت، وهي قصة الحديبية",3.13.5,غزوة رسول الله - صلى الله عليه وسلم - الحديبية «1»,2.1.49.0.0,Maghazi,SEC
17,أمر الهدنة,184.0.0,,,,,Maghazi,SEC
18, بقية أمر خيبر,188.0.0,غزوة خيبر,4.1.1,غزوة رسول الله - صلى الله عليه وسلم - خيبر «1»,2.1.50.0.0,Maghazi,SEC
19,ذكر قدوم جعفر بن أبي طالب من الحبشة وحديث المهاجرين إلى الحبشة ,194.0.0,,,,,Maghazi,SEC
20,"ذكر غزوة مؤتة [1] في جمادى الأولى سنة ثمان، ومقتل جعفر وزيد وعبد الله بن رواحة ",196.0.0,ذكر الخبر عن غزوة مؤتة,4.2.7,سرية مؤتة,2.1.62.0.0,Maghazi,SEC
21,ذكر الأسباب الموجبة المسير إلى مكة وذكر فتح مكة في شهر رمضان سنة ثمان,197.0.0,ذكر الخبر عن فتح مكة,4.2.8,غزوة رسول الله - صلى الله عليه وسلم - عام الفتح «1»,2.1.67.0.0,Maghazi,PRI
22,غزوة حنين في سنة ثمان بعد الفتح,201.0.0,,,غزوة رسول الله - صلى الله عليه وسلم - إلى حنين «1»,2.1.72.0.0,Maghazi,SEC
23,ذكر غزوة الطائف بعد حنين في سنة ثمان,202.0.0, غزوه الطائف,4.2.12,غزوة رسول الله - صلى الله عليه وسلم - الطائف «1»,2.1.74.0.0,Maghazi,SEC
24,,,عمرة رسول الله من الجعرانة,4.2.14,ذكر عمرة النبي- صلى الله عليه وسلم -,2.1.85.0.0,Maghazi,SEC
25,غزوة تبوك في رجب سنة تسع,206.0.0,ذكر الخبر عن غزوة تبوك,4.3.2,غزوة رسول الله - صلى الله عليه وسلم - تبوك «1»,2.1.81.0.0,Maghazi,SEC
26,,,قدوم رسول ملوك حمير على رسول الله بكتابهم,4.3.5,,,Maghazi,SEC
27,أمر وفد ثقيف وإسلامها في شهر رمضان سنة تسع,209.0.0,,,,,Maghazi,SEC
28,,,كتاب مسيلمه الى رسول الله والجواب عنه,4.4.14,,,Maghazi,SEC
29,وصية الرسول معاذا حين بعثه إلى اليمن,225.0.0,,,,,Maghazi,SEC
30,,,,,حجة أبي بكر الصديق بالناس «1»,2.1.82.0.0,Maghazi,SEC
31,حجة الوداع,233.0.0,حجه الوداع,4.4.16,حجة الوداع,2.1.86.0.0,Maghazi,PRI
32,سرية زيد بن حارثة إلى مدين,252.0.0,,,,,Maghazi,SEC
33, غزوة علي بن أبي طالب إلى اليمن,258.0.0,سريه على بن ابى طالب الى اليمن,4.4.4,,,Maghazi,SEC
34,بعث أسامة بن زيد إلى أرض فلسطين وهو آخر البعوث,259.0.0,,,سرية أسامة بن زيد بن حارثة «2»,2.1.87.0.0,Maghazi,SEC
35,,,,,ذكر عرض رسول الله - صلى الله عليه وسلم - القرآن على جبريل واعتكافه في السنة التي قبض فيها,2.3.0.0.0,Maghazi,SEC
36,,,,,ذكر خروج رسول الله - صلى الله عليه وسلم - إلى البقيع واستغفاره لأهله والشهداء,2.6.0.0.0,Maghazi,SEC
37,ابتداء شكوى رسول الله صلى الله عليه وسلم,260.0.0,ذكر الخبر عن بدء مرض رسول الله الذي توفي فيه وما كان منه قبيل ذلك لما نعيت اليه نفسه ص,4.4.41,ذكر أول ما بدأ برسول الله - صلى الله عليه وسلم - وجعه الذي توفى فيه,2.7.0.0.0,Maghazi,SEC
38,ذكر أزواجه صلى الله عليه وسلم أمهات المؤمنين,261.0.0,ذكر الخبر عن أزواج رسول الله ص,4.4.21,,,Maghazi,SEC
39,,,,,ذكر صلاة رسول الله - صلى الله عليه وسلم - بأصحابه في مرضه,2.10.0.0.0,Maghazi,SEC
40,,,,,ذكر ما قال رسول الله - صلى الله عليه وسلم - لفاطمة ابنته في مرضه.صلوات الله عليهما وسلامه,2.23.0.0.0,Maghazi,SEC
41,تمريض رسول الله في بيت عائشة,262.0.0,,,ذكر استئذان رسول الله - صلى الله عليه وسلم - نساءه أن يمرض في بيت عائشة,2.16.0.0.0,Maghazi,SEC
42,,,,,ذكر وفاة رسول الله- صلى الله عليه وسلم -,2.28.0.0.0,Maghazi,PRI
43,جهاز رسول الله صلى الله عليه وسلم ودفنه,264.0.0,ذكر جهاز رسول الله ص ودفنه,4.6.2,,,Maghazi,PRI
44,,,ذكر صفه النبي ص,4.4.37,ذكر صفة أخلاق رسول الله- صلى الله عليه وسلم -,1.75.0.0.0,Maghazi,SEC
45,,,,,باب صفة قراءته - صلى الله عليه وسلم - في صلاته وغيرها وحسن صوته- صلى الله عليه وسلم -,1.75.4.0.0,Maghazi,SEC
46,,,,,ذكر صفته - صلى الله عليه وسلم - في خطبته,1.75.5.0.0,Maghazi,SEC
47,,,,, ذكر محاسن أخلاقه- صلى الله عليه وسلم -,1.75.9.0.0,Maghazi,SEC
48,,,,, ذكر صلاة رسول الله- صلى الله عليه وسلم -,1.75.10.0.0,Maghazi,SEC
49,,,,, ذكر طعام رسول الله - صلى الله عليه وسلم - وما كان يعجبه منه,1.75.12.0.0,Maghazi,SEC
50,,,,, ذكر خاتم النبوة الذي كان بين كتفي رسول الله- صلى الله عليه وسلم -,1.77.1.0.0,Maghazi,SEC
51,,,,, ذكر لباس رسول الله - صلى الله عليه وسلم - وما روي في البياض,1.82.0.0.0,Maghazi,SEC
52,,,أسماء خيل رسول الله ص,4.4.27,,,Maghazi,SEC
53,,,ذكر أسماء سيوف رسول الله ص,4.4.32,ذكر سيوف رسول الله- صلى الله عليه وسلم -,1.99.0.0.0,Maghazi,SEC
54,,, ذكر أسماء رسول الله ص,4.4.36,ذكر ما سم به رسول الله- صلى الله عليه وسلم -,2.5.0.0.0,Maghazi,SEC
1,,,,,ذكر تقبيل أبي بكر الصديق رسول الله - صلى الله عليه وسلم - بعد وفاته,2.32.0.0.0,Ayyam,PRI
2,,,,,ذكر الحزن على رسول الله - صلى الله عليه وسلم - ومن ندبه وبكى عليه,2.53.0.0.0,Ayyam,PRI
3,,,ذكر امر ابى بكر في أول خلافته,4.6.5,,,Ayyam,PRI
